Description,Barcode,Price,Size,Color
# 20 WET MOP REFILL,71555006205,0,,
# 20 WET MOP REFILL,7.38226E+11,7.99,,
# 24 WET MOP REFILL,71555006243,6.99,,
#0 SIGN,14973932206,0,,
#0X4 SCREWDRIVER,8.8435E+11,4.99,,
#1 PHILIPS SCREWDRIVER,74972972078,3.99,,
#1 SIGN.,14973931230,0.59,,
#1 SIGN.,14973931308,0.69,,
#1 SIGN.,cc-125,2.49,,
#1 SIGN.,COLD   CHISEL ,22.99,,
"#1 X 3"" SCREWDRIVER",8.8435E+11,5.99,,
#10 COUNTERSINK,24721905840,8.99,,
#12 MOP HEAD,7.21072E+11,6.99,,
#16 MOP,6.61965E+12,5.99,,
#2 BIT,`738226450063,0.99,,
#2 CEILING HOOK,7.49695E+11,3.99,,
"#2 X 6"" SCREWDRIVER",8.8435E+11,8.99,,
#20 MOP HEAD,8.14473E+11,5.99,,
#2X10'' SCREW DRIVER,74972972245,8.99,,
#3 DOOR CLOTHER,6.08781E+11,69.99,,
#3 PHIPS SCREWDRIVER,74972972092,8.99,,
#3 SCREWDRIVER,8.8435E+11,8.99,,
#3 SIGN,14973931254,0.59,,
#32 MOP HEAD,8.14473E+11,8.99,,
#4 DOOR CLOTHER,6.08781E+11,69.99,,
#4 SIGN,14973931261,0.69,,
#5 DOOR CLOSER,75877015556,59.99,,
#6 EZ ANCOR,7.38287E+11,0.69,,
#7,39257477006,5.99,,
#7 SIGN.,14973931292,0.99,,
#8 SIGN,14973932183,2.49,,
#8 ZINC EZ ANCORS,7.38287E+11,24.99,,
#9 SIGNS,14973932190,0.99,,
#9 SNGL EDGE 100PK BULK,24500663800,12.99,,
#C 1/4 AIR VALVE,7.30007E+11,21.99,,
#C 1/8 STRAITE VALVE,7.30007E+11,21.99,,
#D 1/8 ANGLE VALVE,6.85296E+11,21.99,,
#D 1/8 STRAITE VALVE,7.30007E+11,21.99,,
.300 HED DRIVE PIN,75352600543,16.99,,
.75OZ BONDO RED CREAM HARDN,76308009137,7.99,,
";,l",75339088302,4.99,,
`OZ`FURNITURE CRM POLISH-16 OZ,10284124156,10.99,,
`OZ`FURNITURE CRM POLISH-32 OZ,10284124163,17.99,,
"0 X 3"" PHILLIPS MAGNETIC TIPPED SCR",8781952112,4.99,,
001 ELECTRIC STRIKE,8.22786E+11,32.99,,
00304 3LB CLEAR SHELLAC,47719003045,16.99,,
"00630C 9""PREM PAD REFIL",22384006300,6.99,,
"00740C SHL 7""PREM INT/EXT PAD",22384007406,7.99,,
00901 BIN PRIMER-SEALER GALLON,47719009016,49.99,,
00904 BIN PRIMER-SEALER QUART,47719009047,23.99,,
01008 BIN PRIMER-SEALER SPRAY,47719010081,9.99,,
01360 ICE PICK/CRUSHER,70950013603,6.99,,
02125 25LB POR-ROK DASH PATCH,6.82398E+11,14.99,,
02301 PAP/PLAS DROP 9X12,47034023018,6.99,,
23169126237,47404310038,10.99,,
02452 ULTRA LIQUID BLEACH 96OZ,44600024509,3.49,,
